date,daily_electricity
2015-01-01,1725680.0
2015-01-02,1793290.0
2015-01-03,1747153.0
2015-01-04,1643712.0
2015-01-05,1841655.0
2015-01-06,1914628.0
2015-01-07,1926480.0
2015-01-08,1940263.0
2015-01-09,1885302.0
2015-01-10,1705671.0
2015-01-11,1652941.0
2015-01-12,1874433.0
2015-01-13,1886151.0
2015-01-14,1869155.0
2015-01-15,1888996.0
2015-01-16,1863752.0
2015-01-17,1762138.0
2015-01-18,1780816.0
2015-01-19,1945536.0
2015-01-20,1969712.0
2015-01-21,1984470.0
2015-01-22,1977175.0
2015-01-23,1986551.0
2015-01-24,1915263.0
2015-01-25,1829952.0
2015-01-26,1941785.0
2015-01-27,1943838.0
2015-01-28,1967947.0
2015-01-29,1927556.0
2015-01-30,1968548.0
2015-01-31,1833870.0
2015-02-01,1845215.0
2015-02-02,1924393.0
2015-02-03,1949976.0
2015-02-04,1990480.0
2015-02-05,2034942.0
2015-02-06,2085183.0
2015-02-07,1915728.0
2015-02-08,1810767.0
2015-02-09,1880452.0
2015-02-10,1901525.0
2015-02-11,1893979.0
2015-02-12,1888848.0
2015-02-13,1866107.0
2015-02-14,1697460.0
2015-02-15,1633150.0
2015-02-16,1823907.0
2015-02-17,1814879.0
2015-02-18,1805488.0
2015-02-19,1822691.0
2015-02-20,1850468.0
2015-02-21,1703958.0
2015-02-22,1639723.0
2015-02-23,1818553.0
2015-02-24,1836749.0
2015-02-25,1773954.0
2015-02-26,1767780.0
2015-02-27,1772900.0
2015-02-28,1645729.0
2015-03-01,1544477.0
2015-03-02,1686228.0
2015-03-03,1721974.0
2015-03-04,1722262.0
2015-03-05,1730749.0
2015-03-06,1716963.0
2015-03-07,1563295.0
2015-03-08,1459787.0
2015-03-09,1610840.0
2015-03-10,1646323.0
2015-03-11,1633739.0
2015-03-12,1647768.0
2015-03-13,1648107.0
2015-03-14,1561853.0
2015-03-15,1517970.0
2015-03-16,1665787.0
2015-03-17,1651840.0
2015-03-18,1629791.0
2015-03-19,1653577.0
2015-03-20,1600838.0
2015-03-21,1493940.0
2015-03-22,1486143.0
2015-03-23,1602553.0
2015-03-24,1616563.0
2015-03-25,1639991.0
2015-03-26,1675943.0
2015-03-27,1603231.0
2015-03-28,1465558.0
2015-03-29,1357822.0
2015-03-30,1552031.0
2015-03-31,1595807.0
2015-04-01,1578955.0
2015-04-02,1570688.0
2015-04-03,1480045.0
2015-04-04,1378277.0
2015-04-05,1324692.0
2015-04-06,1337786.0
2015-04-07,1469943.0
2015-04-08,1472105.0
2015-04-09,1436166.0
2015-04-10,1431369.0
2015-04-11,1273196.0
2015-04-12,1184430.0
2015-04-13,1338999.0
2015-04-14,1331461.0
2015-04-15,1353435.0
2015-04-16,1334292.0
2015-04-17,1350864.0
2015-04-18,1308795.0
2015-04-19,1187011.0
2015-04-20,1327098.0
2015-04-21,1345281.0
2015-04-22,1362502.0
2015-04-23,1357244.0
2015-04-24,1333998.0
2015-04-25,1226106.0
2015-04-26,1172899.0
2015-04-27,1350390.0
2015-04-28,1393800.0
2015-04-29,1381763.0
2015-04-30,1398590.0
2015-05-01,1302758.0
2015-05-02,1287599.0
2015-05-03,1218477.0
2015-05-04,1286311.0
2015-05-05,1355420.0
2015-05-06,1368840.0
2015-05-07,1328401.0
2015-05-08,1276914.0
2015-05-09,1214526.0
2015-05-10,1084854.0
2015-05-11,1301255.0
2015-05-12,1276795.0
2015-05-13,1324975.0
2015-05-14,1241194.0
2015-05-15,1344121.0
2015-05-16,1236972.0
2015-05-17,1102922.0
2015-05-18,1343119.0
2015-05-19,1385987.0
2015-05-20,1380930.0
2015-05-21,1387459.0
2015-05-22,1393978.0
2015-05-23,1267285.0
2015-05-24,1151980.0
2015-05-25,1253916.0
2015-05-26,1393716.0
2015-05-27,1383633.0
2015-05-28,1360681.0
2015-05-29,1363583.0
2015-05-30,1205190.0
2015-05-31,1106557.0
2015-06-01,1269021.0
2015-06-02,1338753.0
2015-06-03,1344863.0
2015-06-04,1354868.0
2015-06-05,1352549.0
2015-06-06,1219739.0
2015-06-07,1111139.0
